id,name,now_cost,position,team,web_name,transfers_in_event,influence_rank_type,news_added,ict_index_rank_type,assists,selected_rank,direct_freekicks_order,starts_per_90,goals_conceded,threat_rank_type,status,ep_this,news,selected_rank_type,goals_scored,influence_rank,goals_conceded_per_90,selected_by_percent,in_dreamteam,points_per_game_rank,expected_goal_involvements_per_90,influence,form_rank_type,expected_goals_conceded_per_90,chance_of_playing_this_round,ep_next,expected_assists,expected_goals_conceded,points_per_game,cost_change_start,transfers_in,starts,cost_change_start_fall,creativity,saves_per_90,threat_rank,penalties_saved,points_per_game_rank_type,own_goals,bonus,penalties_missed,expected_goals,chance_of_playing_next_round,event_points,clean_sheets,clean_sheets_per_90,transfers_out,cost_change_event,penalties_order,expected_goals_per_90,creativity_rank_type,expected_assists_per_90,value_season,transfers_out_event,form,bps,saves,expected_goal_involvements,form_rank,creativity_rank,corners_and_indirect_freekicks_order,threat,dreamteam_count,now_cost_rank_type,ict_index,now_cost_rank,minutes,yellow_cards,cost_change_event_fall,red_cards,value_form,ict_index_rank,total_points
12,Gabriel Martinelli Silva,77,MID,Arsenal,Martinelli,8293,59,2023-12-12T17:30:08.345180Z,18,2,67,3.0,1.17,13,12,a,3.2,,22,2,142,1.01,5.9,False,136,0.36,231.2,51,0.7,100.0,3.7,2.54,8.99,3.1,-3,906152,15,3,425.9,0.0,24,0,60,0,0,0,2.10,100.0,2,5,0.39,1729269,0,,0.16,14,0.2,6.5,14666,3.2,185,0,4.64,103,20,4.0,401.0,0,11,105.3,18,1156,1,0,0,0.4,27,50
13,Eddie Nketiah,54,FWD,Arsenal,Nketiah,5216,16,2023-11-09T08:30:08.250179Z,22,3,77,,0.96,6,19,a,1.2,,16,5,167,0.64,5.2,False,107,0.43,201.0,35,0.75,100.0,1.7,0.31,6.97,3.4,-1,1532002,9,1,107.1,0.0,48,0,15,0,5,0,3.75,100.0,0,6,0.64,1438304,0,,0.4,24,0.03,10.6,28645,1.2,175,0,4.06,263,168,,297.0,1,34,59.4,121,842,3,0,0,0.2,106,57
14,Martin Ødegaard,84,MID,Arsenal,Ødegaard,39933,15,2023-11-04T21:00:08.152623Z,8,4,24,1.0,1.02,13,24,a,5.2,,8,4,40,0.88,14.9,False,17,0.46,374.2,12,0.82,100.0,5.7,2.94,12.08,5.3,-1,1418246,15,1,532.5,0.0,39,0,10,0,12,0,3.79,100.0,8,6,0.41,2347164,0,2.0,0.26,7,0.2,9.4,11672,5.2,289,0,6.73,17,10,3.0,322.0,1,6,122.8,9,1329,1,0,0,0.6,13,79
15,Thomas Partey,48,MID,Arsenal,Thomas,9,154,2023-10-25T12:00:07.465521Z,158,0,364,,1.08,2,184,i,0.0,Muscle injury - Expected back 20 Jan,114,0,355,0.72,0.2,False,316,0.11,55.8,277,0.91,0.0,0.0,0.21,2.53,1.8,-2,8548,3,2,60.0,0.0,368,0,132,0,0,0,0.07,0.0,0,1,0.36,36869,0,,0.03,144,0.08,1.5,74,0.0,58,0,0.28,685,266,,15.0,0,186,13.1,284,250,0,0,0,0.0,354,7
16,Nicolas Pépé,49,MID,Arsenal,Pepe,0,311,2023-09-11T14:13:51.462896Z,311,0,527,,0.0,0,309,u,0.0,Permanent move to Trabzonspor,186,0,732,0.0,0.0,False,733,0.0,0.0,286,0.0,0.0,0.0,0.00,0.00,0.0,-1,667,0,1,0.0,0.0,725,0,311,0,0,0,0.00,0.0,0,0,0.0,6314,0,,0.0,309,0.0,0.0,12,0.0,0,0,0.00,698,728,,0.0,0,151,0.0,234,0,0,0,0,0.0,733,0
17,Aaron Ramsdale,46,GKP,Arsenal,Ramsdale,686,27,,27,0,61,,1.0,4,78,a,1.0,,11,0,354,0.8,6.5,False,104,0.0,55.8,27,0.97,,1.5,0.01,4.84,3.4,-4,260042,5,4,0.0,1.2,707,0,15,0,0,0,0.00,,0,2,0.4,1408519,0,,0.0,82,0.0,3.7,6581,1.0,77,6,0.01,275,711,,0.0,0,14,5.6,342,450,0,0,0,0.2,412,17
18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,Rúnarsson,0,59,2023-08-20T06:33:02.960208Z,59,0,436,,0.0,0,33,u,0.0,Season long loan to Cardiff City,65,0,518,0.0,0.1,False,530,0.0,0.0,58,0.0,0.0,0.0,0.00,0.00,0.0,0,990,0,0,0.0,0.0,476,0,59,0,0,0,0.00,0.0,0,0,0.0,10681,0,,0.0,42,0.0,0.0,39,0.0,0,0,0.00,441,504,,0.0,0,41,0.0,640,0,0,0,0,0.0,526,0
19,Bukayo Saka,90,MID,Arsenal,Saka,47077,4,2023-11-09T08:30:08.290130Z,2,8,2,,1.03,16,6,a,4.5,,1,5,10,0.97,58.2,True,10,0.67,493.4,22,0.79,100.0,5.0,5.75,13.07,5.8,5,3647030,17,-5,671.7,0.0,10,0,6,0,11,0,5.23,100.0,1,6,0.36,3649758,0,1.0,0.32,3,0.35,10.9,65627,4.5,364,0,10.98,35,4,1.0,544.0,2,4,171.0,6,1483,2,0,0,0.5,2,98
20,William Saliba,55,DEF,Arsenal,Saliba,60237,16,2023-10-09T08:30:07.861646Z,40,1,7,,1.0,16,67,a,3.2,,2,1,59,0.89,35.9,True,51,0.09,338.4,33,0.78,100.0,3.7,0.53,14.02,4.1,5,3109414,18,-5,63.4,0.0,237,0,11,0,6,0,1.07,100.0,2,7,0.39,1561537,0,,0.06,77,0.03,13.5,19295,3.2,349,0,1.60,101,254,,55.0,0,9,45.8,107,1620,1,0,0,0.6,161,74
22,Emile Smith Rowe,53,MID,Arsenal,Smith Rowe,74,170,2023-11-02T11:00:07.493976Z,165,1,418,,0.86,0,123,a,0.2,,136,0,383,0.0,0.1,False,288,0.8,37.0,175,0.16,100.0,0.7,0.05,0.19,2.0,-2,4847,1,2,17.2,0.0,231,0,120,0,0,0,0.89,100.0,0,1,0.86,16060,0,,0.76,192,0.04,1.9,46,0.2,27,0,0.94,391,370,,58.0,0,91,11.1,145,105,0,0,0,0.0,369,10
24,Kieran Tierney,44,DEF,Arsenal,Tierney,0,241,2023-08-29T07:46:59.686803Z,241,0,411,,0.0,0,238,u,0.0,Season long loan to Real Sociedad,160,0,616,0.0,0.1,False,628,0.0,0.0,224,0.0,0.0,0.0,0.00,0.00,0.0,-1,2665,0,1,0.0,0.0,587,0,240,0,0,0,0.00,0.0,0,0,0.0,28372,0,,0.0,241,0.0,0.0,28,0.0,0,0,0.00,554,604,,0.0,0,100,0.0,510,0,0,0,0,0.0,621,0
25,Takehiro Tomiyasu,45,DEF,Arsenal,Tomiyasu,18,103,2023-12-02T18:30:08.259180Z,101,1,283,,0.77,4,64,i,0.0,Calf injury - Unknown return date,110,1,263,0.62,0.3,False,117,0.13,124.4,35,1.0,0.0,0.0,0.38,6.46,3.2,0,79058,5,0,54.0,0.0,233,0,32,0,3,0,0.48,0.0,0,3,0.46,80745,0,,0.07,89,0.06,8.4,1864,3.0,134,0,0.86,106,277,,57.0,1,74,23.3,387,583,0,0,1,0.7,294,38
26,Leandro Trossard,65,MID,Arsenal,Trossard,1850,80,2023-10-09T08:30:07.911344Z,67,1,141,,0.81,4,38,a,1.5,,42,3,200,0.65,1.9,False,135,0.59,178.2,101,0.85,100.0,2.0,1.41,5.25,3.1,-5,290973,5,5,183.4,0.0,61,0,59,0,6,0,2.23,100.0,1,2,0.32,656174,0,,0.36,73,0.23,6.8,6878,1.5,125,0,3.64,223,99,2.0,254.0,2,27,61.4,46,556,0,0,0,0.2,102,44
29,Benjamin White,56,DEF,Arsenal,White,11041,20,2023-11-12T02:00:08.673390Z,13,2,31,,1.02,15,31,a,2.3,,11,1,66,1.02,11.1,False,67,0.13,317.0,52,0.82,100.0,2.8,1.39,12.02,3.9,1,1295932,15,-1,250.2,0.0,172,0,15,0,7,0,0.61,100.0,1,6,0.41,1177463,0,,0.04,11,0.09,12.0,14920,2.3,314,0,2.00,147,61,,93.0,2,6,65.9,90,1319,4,0,0,0.4,86,67
30,Granit Xhaka,60,MID,Arsenal,Xhaka,0,332,2023-07-11T08:41:07.159936Z,332,0,679,,0.0,0,332,u,0.0,Transferred to Bayer Leverkusen,272,0,762,0.0,0.0,False,762,0.0,0.0,324,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0,0.0,0.0,762,0,332,0,0,0,0.00,0.0,0,0,0.0,1205,0,,0.0,332,0.0,0.0,3,0.0,0,0,0.00,748,762,,0.0,0,38,0.0,61,0,0,0,0,0.0,762,0
31,Oleksandr Zinchenko,52,DEF,Arsenal,Zinchenko,58694,47,,15,1,28,,1.03,9,30,a,4.3,,10,1,122,0.71,13.4,False,50,0.18,259.4,6,0.74,,4.8,1.85,9.40,4.1,2,1326311,13,-2,283.1,0.0,170,0,10,0,11,0,0.43,,2,6,0.47,671814,0,,0.03,10,0.15,13.5,17425,4.3,307,0,2.28,39,53,,94.0,2,16,63.6,159,1139,2,0,0,0.8,94,70
113,David Raya Martin,49,GKP,Arsenal,Raya,16795,21,2023-11-13T01:00:08.923385Z,21,0,71,,1.0,12,82,a,2.2,,13,0,197,0.92,5.5,False,76,0.0,179.4,15,0.71,100.0,2.7,0.02,9.18,3.7,-1,625878,13,1,0.0,1.54,722,0,9,0,2,0,0.00,100.0,2,5,0.38,592120,0,,0.0,84,0.0,9.8,6800,2.2,216,20,0.02,159,725,,0.0,0,8,17.9,226,1170,0,0,0,0.4,324,48
540,Declan Rice,54,MID,Arsenal,Rice,12376,10,2023-09-24T22:30:08.321972Z,41,1,73,4.0,1.04,15,69,a,3.2,,23,3,30,0.86,5.4,False,89,0.14,400.6,48,0.77,100.0,3.7,1.00,13.31,3.6,-1,453875,18,1,222.0,0.0,106,0,46,0,7,0,1.44,100.0,1,7,0.4,576303,0,,0.08,59,0.06,12.0,10230,3.2,324,0,2.44,99,75,,166.0,1,74,78.9,120,1563,2,0,0,0.6,58,65
578,Reiss Nelson,48,MID,Arsenal,Nelson,46,185,2023-08-07T15:30:06.067296Z,188,0,542,,0.0,0,193,a,0.3,,194,0,415,0.0,0.0,False,449,0.23,18.8,161,0.96,100.0,0.8,0.14,0.67,1.0,-2,6170,0,2,32.7,0.0,386,0,208,0,0,0,0.02,100.0,0,0,0.0,7298,0,,0.03,170,0.2,1.5,64,0.3,25,0,0.16,361,327,,10.0,0,189,6.1,289,63,0,0,0,0.1,406,7
585,Jurriën Timber,46,DEF,Arsenal,J.Timber,37,168,2023-08-12T18:00:07.121160Z,167,0,243,,1.84,0,248,i,0.0,Knee injury - Unknown return date,92,0,463,0.0,0.4,False,719,0.02,3.6,240,0.51,0.0,0.0,0.01,0.28,0.0,-4,12020,1,4,2.4,0.0,708,0,248,0,0,0,0.00,0.0,0,0,0.0,478135,0,,0.0,156,0.02,0.0,158,0.0,3,0,0.01,669,420,,0.0,0,47,0.6,346,49,1,0,0,0.0,467,0
646,Karl Hein,40,GKP,Arsenal,Hein,50,73,,73,0,510,,0.0,0,47,a,0.0,,69,0,558,0.0,0.1,False,571,0.0,0.0,71,0.0,,0.5,0.00,0.00,0.0,0,4309,0,0,0.0,0.0,517,0,73,0,0,0,0.00,,0,0,0.0,3519,0,,0.0,56,0.0,0.0,64,0.0,0,0,0.00,483,544,,0.0,0,55,0.0,687,0,0,0,0,0.0,566,0
735,Charles Sagoe,45,MID,Arsenal,Sagoe,35,285,,288,0,725,,0.0,0,285,a,0.0,,302,0,696,0.0,0.0,False,704,0.0,0.0,253,0.0,,0.5,0.00,0.00,0.0,0,484,0,0,0.0,0.0,685,0,291,0,0,0,0.00,,0,0,0.0,276,0,,0.0,286,0.0,0.0,29,0.0,0,0,0.00,649,693,,0.0,0,268,0.0,453,0,0,0,0,0.0,702,0
736,Reuell Walters,40,DEF,Arsenal,Walters,122,227,,227,0,612,,0.0,0,217,a,0.0,,216,0,583,0.0,0.0,False,595,0.0,0.0,200,0.0,,0.5,0.00,0.00,0.0,0,1907,0,0,0.0,0.0,543,0,224,0,0,0,0.00,,0,0,0.0,945,0,,0.0,226,0.0,0.0,71,0.0,0,0,0.00,508,568,,0.0,0,222,0.0,715,0,0,0,0,0.0,590,0
737,Bradley Ibrahim,45,MID,Arsenal,Ibrahim,21,289,,292,0,726,,0.0,0,290,a,0.0,,303,0,704,0.0,0.0,False,711,0.0,0.0,257,0.0,,0.5,0.00,0.00,0.0,0,420,0,0,0.0,0.0,694,0,294,0,0,0,0.00,,0,0,0.0,264,0,,0.0,290,0.0,0.0,21,0.0,0,0,0.00,658,701,,0.0,0,274,0.0,464,0,0,0,0,0.0,710,0
764,Myles Lewis-Skelly,45,MID,Arsenal,Lewis-Skelly,5,278,,281,0,768,,0.0,0,278,a,0.0,,333,0,688,0.0,0.0,False,696,0.0,0.0,245,0.0,,0.5,0.00,0.00,0.0,0,9,0,0,0.0,0.0,676,0,284,0,0,0,0.00,,0,0,0.0,5,0,,0.0,279,0.0,0.0,3,0.0,0,0,0.00,640,684,,0.0,0,259,0.0,442,0,0,0,0,0.0,694,0
32,Alexandre Moreno Lopera,50,DEF,Aston Villa,Alex Moreno,5870,133,2023-09-24T22:30:06.810510Z,127,0,213,,0.67,2,45,a,2.8,,82,1,348,1.33,0.7,False,177,0.61,58.8,51,0.85,100.0,1.8,0.06,1.27,2.8,0,83303,1,0,6.0,0.0,195,0,55,0,2,0,0.85,100.0,1,0,0.0,23066,0,,0.57,149,0.04,2.8,6304,2.3,28,0,0.91,146,405,,79.0,1,20,14.3,173,135,0,0,0,0.5,344,14
34,Leon Bailey,56,MID,Aston Villa,Bailey,23890,33,2023-12-15T09:30:09.140206Z,45,5,106,,0.78,9,44,a,4.8,,29,5,85,1.17,3.2,False,59,0.71,295.2,25,1.48,100.0,3.8,2.76,11.38,4.0,1,528653,6,-1,227.3,0.0,68,0,33,0,4,0,2.68,100.0,2,3,0.39,298280,0,,0.35,54,0.36,11.4,13528,4.3,190,0,5.44,40,70,4.0,238.0,1,56,76.0,91,693,3,0,0,0.8,64,64
35,Emiliano Buendía Stati,57,MID,Aston Villa,Buendia,14,331,2023-08-10T11:00:05.686871Z,331,0,545,,0.0,0,331,i,0.0,Knee injury - Expected back 10 Feb,197,0,760,0.0,0.0,False,760,0.0,0.0,322,0.0,0.0,0.0,0.00,0.00,0.0,-3,663,0,3,0.0,0.0,760,0,331,0,0,0,0.00,0.0,0,0,0.0,16960,0,,0.0,331,0.0,0.0,12,0.0,0,0,0.00,745,760,,0.0,0,52,0.0,83,0,0,0,0,0.0,760,0
36,Matty Cash,47,DEF,Aston Villa,Cash,4075,32,2023-12-22T23:30:09.762009Z,10,1,16,,1.07,18,1,s,1.3,Suspended until 30 Dec,4,2,89,1.28,20.0,False,158,0.39,292.6,100,1.22,100.0,0.0,1.62,17.08,2.9,2,3617922,15,-2,135.4,0.0,52,0,51,1,4,0,3.72,0.0,1,3,0.21,2432736,0,,0.27,30,0.12,10.6,199594,0.8,231,0,5.34,298,143,,284.0,1,39,71.2,317,1262,5,0,0,0.2,71,50
37,Calum Chambers,39,DEF,Aston Villa,Chambers,659,174,,173,0,188,,0.0,0,159,a,0.5,,68,0,490,0.0,1.0,False,502,0.0,0.0,140,0.0,,-0.5,0.00,0.00,0.0,-1,48015,0,1,0.0,0.0,441,0,171,0,0,0,0.00,,0,0,0.0,87446,0,,0.0,173,0.0,0.0,1065,0.0,0,0,0.00,407,471,,0.0,0,233,0.0,734,0,0,0,0,0.0,496,0
38,Philippe Coutinho Correia,58,MID,Aston Villa,Coutinho,0,207,2023-08-20T22:00:05.790965Z,209,0,347,,0.0,1,188,u,0.0,Joined Al-Duhail on loan for the rest of the season,107,0,458,3.75,0.2,False,462,0.64,4.0,323,2.55,0.0,0.0,0.02,0.68,1.0,-2,4781,0,2,2.8,0.0,379,0,216,0,0,0,0.15,0.0,0,0,0.0,47400,0,,0.56,208,0.08,0.3,29,0.0,7,0,0.17,746,418,,12.0,0,45,1.8,70,24,0,0,0,0.0,455,2
39,Keinan Davis,49,FWD,Aston Villa,Davis,0,88,2023-09-03T20:12:01.415986Z,88,0,390,,0.0,0,87,u,0.0,Transferred to Udinese,60,0,735,0.0,0.1,False,735,0.0,0.0,84,0.0,0.0,0.0,0.00,0.00,0.0,-1,4950,0,1,0.0,0.0,727,0,88,0,0,0,0.00,0.0,0,0,0.0,22779,0,,0.0,88,0.0,0.0,54,0.0,0,0,0.00,701,730,,0.0,0,51,0.0,245,0,0,0,0,0.0,735,0
40,Leander Dendoncker,49,MID,Aston Villa,Dendoncker,49,192,2023-08-10T15:00:04.947940Z,208,0,618,,0.0,0,215,a,0.8,,238,0,425,0.0,0.0,False,451,0.08,15.8,162,1.77,100.0,-0.2,0.00,0.63,1.0,-1,1444,0,1,0.8,0.0,430,0,209,0,0,0,0.03,100.0,0,0,0.0,2694,0,,0.08,213,0.0,1.2,44,0.3,16,0,0.03,363,435,,2.0,0,145,1.8,225,32,0,0,0,0.1,454,6
41,Diego Carlos Santos Silva,44,DEF,Aston Villa,Diego Carlos,2465,90,2023-11-10T02:00:09.636100Z,99,0,208,,1.0,10,63,a,3.3,,81,0,230,1.24,0.7,False,261,0.09,150.2,38,1.38,100.0,2.3,0.24,11.06,2.1,-1,69573,8,1,29.5,0.0,232,0,84,0,1,0,0.48,100.0,0,2,0.25,50139,0,,0.06,117,0.03,5.7,4238,2.8,140,0,0.72,117,338,,57.0,0,94,23.6,501,723,1,0,0,0.6,290,25
42,Lucas Digne,47,DEF,Aston Villa,Digne,54202,41,2023-12-09T20:00:09.117227Z,5,3,70,2.0,1.04,20,20,a,3.8,,23,0,108,1.22,5.6,False,118,0.18,270.6,27,1.32,100.0,2.8,2.64,21.59,3.2,2,940156,17,-2,448.4,0.0,149,0,33,0,2,0,0.37,100.0,6,5,0.31,534644,0,,0.02,5,0.16,11.7,4879,3.3,278,0,3.01,88,18,2.0,112.0,1,38,83.1,309,1472,5,0,0,0.7,49,55
43,Douglas Luiz Soares de Paulo,55,MID,Aston Villa,Douglas Luiz,72232,7,2023-12-09T20:00:09.137355Z,20,3,52,1.0,1.04,21,51,a,4.2,,18,5,21,1.28,7.5,False,24,0.37,431.6,33,1.34,100.0,3.2,2.20,21.99,4.8,0,1639051,17,0,398.2,0.0,77,0,15,0,15,0,3.98,100.0,8,4,0.24,1167786,0,1.0,0.24,18,0.13,14.9,10459,3.7,364,0,6.18,65,24,1.0,211.0,2,65,104.1,104,1473,5,0,0,0.7,29,82
44,Jhon Durán,50,FWD,Aston Villa,Duran,431,37,2023-10-29T22:00:09.647546Z,41,0,328,,0.0,1,45,a,1.0,,51,2,320,0.66,0.2,False,341,0.57,75.0,43,1.36,100.0,0.0,0.05,2.05,1.6,0,48902,0,0,29.9,0.0,216,0,41,0,3,0,0.81,100.0,1,0,0.0,42957,0,,0.54,44,0.03,3.6,616,0.5,62,0,0.86,334,335,,65.0,0,45,16.6,203,136,4,0,0,0.1,333,18
45,Kortney Hause,39,DEF,Aston Villa,Hause,341,176,,175,0,329,,0.0,0,162,a,0.5,,126,0,493,0.0,0.2,False,505,0.0,0.0,143,0.0,,-0.5,0.00,0.00,0.0,-1,11593,0,1,0.0,0.0,446,0,173,0,0,0,0.00,,0,0,0.0,16661,0,,0.0,175,0.0,0.0,218,0.0,0,0,0.00,412,475,,0.0,0,236,0.0,739,0,0,0,0,0.0,499,0
46,Tim Iroegbunam,44,MID,Aston Villa,Iroegbunam,26,244,2023-08-10T15:00:04.998490Z,247,0,606,,0.0,0,240,a,0.5,,231,0,635,0.0,0.0,False,647,0.0,0.0,207,0.0,100.0,-0.5,0.00,0.00,0.0,-1,1393,0,1,0.0,0.0,610,0,252,0,0,0,0.00,100.0,0,0,0.0,3554,0,,0.0,244,0.0,0.0,33,0.0,0,0,0.00,578,625,,0.0,0,312,0.0,556,0,0,0,0,0.0,640,0
47,Boubacar Kamara,50,MID,Aston Villa,Kamara,11,66,2023-12-17T21:30:08.114524Z,78,1,406,,1.07,18,152,s,0.0,Suspended until 14 Jan,133,0,155,1.2,0.1,False,305,0.09,215.4,108,1.28,0.0,0.0,1.21,19.12,1.9,0,13979,16,0,263.9,0.0,288,0,127,0,1,0,0.13,0.0,0,5,0.33,17038,0,,0.01,45,0.08,6.2,455,1.3,200,0,1.34,241,57,,36.0,0,122,51.7,195,1347,6,0,1,0.3,135,31
48,Ezri Konsa Ngoyo,46,DEF,Aston Villa,Konsa,19818,30,,34,1,113,,1.03,22,21,a,3.8,,49,0,83,1.25,2.9,False,175,0.12,296.6,26,1.31,,2.8,0.44,23.04,2.8,1,279694,18,-1,84.5,0.0,151,0,54,0,4,0,1.66,,2,4,0.23,104493,1,,0.09,59,0.03,11.1,6616,3.3,301,0,2.10,87,215,,110.0,0,44,49.3,336,1578,3,-1,0,0.7,142,51
49,Emiliano Martínez Romero,52,GKP,Aston Villa,Martinez,21931,9,2023-11-24T19:00:09.689065Z,9,0,30,,1.0,21,85,a,5.2,,6,0,26,1.24,11.6,False,106,0.0,411.4,3,1.33,100.0,4.2,0.00,22.58,3.4,2,948795,17,-2,10.0,2.88,746,0,16,1,9,0,0.00,100.0,2,4,0.24,592582,1,,0.0,4,0.0,11.2,19935,4.7,309,49,0.00,26,398,,0.0,0,5,42.1,152,1530,3,-1,0,0.9,179,58
50,John McGinn,55,MID,Aston Villa,McGinn,6940,19,2023-11-20T10:00:08.648383Z,24,2,147,,1.06,20,52,a,3.7,,45,4,50,1.18,1.7,False,66,0.3,351.4,49,1.21,100.0,2.7,2.95,20.60,3.9,0,226413,18,0,412.7,0.0,79,0,35,0,8,0,2.28,100.0,2,4,0.24,108460,0,,0.13,17,0.17,12.7,11088,3.2,278,0,5.23,100,23,3.0,208.0,0,61,97.4,99,1531,4,0,0,0.6,33,70
